Company,Skills,Description,Publish Date,Experience,Location
    SplendorNet Technologies Pvt. Ltd.        ,"python  ,  css  ,  django  ,  rest api  ,  web development  ,  html  ,  angularjs  ,  javascript  ,  jquery              ",card_travel0 - 3 yrslocation_onPune,Posted few days ago,card_travel0 - 3 yrs,Pune
    APPLYCUP HIRING SOLUTIONS LLP        ,"python  ,  nosql  ,  xpath  ,  database  ,  django  ,  postgresql  ,  xml  ,  json  ,  perl  ,  mongodb  ,  couchdb              ",card_travel5 - 8 yrslocation_onAhmedabad,Posted few days ago,card_travel5 - 8 yrs,Ahmedabad
    magnarus technologies private limited        ,"                image processing  ,  python  ,  c  ,  c   programming  ,  operating system  ,  team player  ,  database  ,  mysql  ,  unix              ",card_travel1 - 3 yrslocation_onHyderabad/Secunderabad,Posted few days ago,card_travel1 - 3 yrs,Hyderabad/Secunderabad
    Vibrant Info        ,"                rest  ,  security compliance  ,  python  ,  svn  ,  problem solving  ,  database  ,  django  ,  git  ,  linux  ,  mysql              ",card_travel3 - 6 yrslocation_onAhmedabad,Posted few days ago,card_travel3 - 6 yrs,Ahmedabad
    GEMINI SOFTWARE SOLUTIONS        ,"                algorithms  ,  database  ,  senior software developer  ,  shell scripting  ,  object oriented programming  ,  python  ,  team player  ,  machine learning  ,  django  ,  unix  /  linux              ",card_travel3 - 6 yrslocation_onGurgaon,Posted few days ago,card_travel3 - 6 yrs,Gurgaon
    GenieTalk        ,"                html5  ,  storage  ,  security  ,  database  ,  git  ,  debugging  ,  mysql  ,  mongodb  ,  python  ,  cloud services  ,  mobile  ,  svn  ,  javascript  ,  django  ,  angularjs              ",card_travel0 - 3 yrslocation_onIndore,Posted few days ago,card_travel0 - 3 yrs,Indore
    TECHNOFIST        ,"                image processing  ,  python  ,  jsp  ,  data mining  ,  jdbc  ,  hibernate  ,  machine learning  ,  artificial intelligence  ,  spring  ,  database management  ,  java  ,  struts  ,  cloud computing              ",card_travel0 - 1 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel0 - 1 yrs,Bengaluru / Bangalore
    v support solutions        ,"                rest  ,  python  ,  natural language processing  ,  django  ,  debugging  ,  mysql  ,  software developer  ,  mongodb  ,  soap              ",card_travel2 - 5 yrslocation_onChennai,Posted few days ago,card_travel2 - 5 yrs,Chennai
    Blocklogy Edutech Private limited        ,"python  ,  c    ,  c  ,  natural language processing  ,  scala  ,  data mining  ,  machine learning  ,  artificial intelligence  ,  pattern recognition              ",card_travel1 - 3 yrslocation_onNavi Mumbai,Posted few days ago,card_travel1 - 3 yrs,Navi Mumbai
    ceredox technologies        ,"                fundamentals  ,  algorithms  ,  python  ,  rest api  ,  information retrieval  ,  docker  ,  react.js  ,  django  ,  git  ,  json  ,  data structures              ",card_travel2 - 5 yrslocation_onHyderabad/Secunderabad,Posted few days ago,card_travel2 - 5 yrs,Hyderabad/Secunderabad
    botree technologies        ,"                security compliance  ,  python  ,  html5  ,  svn  ,  javascript  ,  database  ,  django  ,  git  ,  web developer  ,  debugging              ",card_travel3 - 6 yrslocation_onAhmedabad,Posted few days ago,card_travel3 - 6 yrs,Ahmedabad
    CAP Digisoft Solutions Inc.        ,"python  ,  css  ,  html5  ,  sql  ,  nosql  ,  web tools  ,  xml  ,  infrastructure  ,  json              ",card_travel2 - 5 yrslocation_onCoimbatore,Posted few days ago,card_travel2 - 5 yrs,Coimbatore
    QuEST Global Engineering Pvt Ltd        ,"                docker  ,  debugging  ,  api  ,  python  ,  cloud services  ,  tornado  ,  problem solving  ,  django  ,  sql database              ",card_travel5 - 8 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel5 - 8 yrs,Bengaluru / Bangalore
    vConstruct Pvt Ltd        ,"                html5  ,  security  ,  testing tools  ,  debugging  ,  python  ,  problem solving  ,  javascript  ,  django  ,  project delivery              ",card_travel1 - 3 yrslocation_onPune,Posted few days ago,card_travel1 - 3 yrs,Pune
    IBS  ( INFINITIVE BUSINESS SOLUTION )        ,"                service oriented  ,  c    ,  dbms  ,  sql  ,  security  ,  java  ,  xml  ,  devops  ,  html  ,  rest  ,  python  ,  c  ,  oracle  ,  javascript  ,  infrastructure  ,  soap              ",card_travel0 - 3 yrslocation_on,Posted few days ago,card_travel0 - 3 yrs,
    AGILE Infoways Pvt. Ltd.        ,"python  ,  database  ,  django  ,  git  ,  html5  ,  mysql  ,  mvc  ,  machine learning  ,  javascript              ",card_travel1 - 2 yrslocation_onAhmedabad,Posted few days ago,card_travel1 - 2 yrs,Ahmedabad
    APPLYCUP HIRING SOLUTIONS LLP        ,"                security compliance  ,  python  ,  html5  ,  mobile  ,  svn  ,  javascript  ,  database  ,  django  ,  git  ,  debugging              ",card_travel5 - 10 yrslocation_onPune,Posted few days ago,card_travel5 - 10 yrs,Pune
    APPLYCUP HIRING SOLUTIONS LLP        ,"python  ,  html5  ,  svn  ,  storage  ,  javascript  ,  database  ,  django  ,  git  ,  debugging  ,  api              ",card_travel2 - 6 yrslocation_onAhmedabad,Posted few days ago,card_travel2 - 6 yrs,Ahmedabad
    Veeva Systems        ,"                css  ,  database  ,  postgresql  ,  debugging  ,  html  ,  mysql  ,  rest  ,  san  ,  python  ,  javascript  ,  django  ,  forms              ",card_travel3 - 6 yrslocation_on,Posted few days ago,card_travel3 - 6 yrs,
    Maximus Human Resources Pvt Ltd.        ,"python  ,  github  ,  mobile  ,  postgresql  ,  oops  ,  debugging  ,  data structures  ,  mysql  ,  website development  ,  api              ",card_travel2 - 3 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel2 - 3 yrs,Bengaluru / Bangalore
    Veeva Systems        ,"                css  ,  database  ,  postgresql  ,  debugging  ,  html  ,  mysql  ,  rest  ,  san  ,  python  ,  javascript  ,  django  ,  forms              ",card_travel3 - 6 yrslocation_onSpain,Posted few days ago,card_travel3 - 6 yrs,Spain
    geekyworks        ,"                html5  ,  bootstrap  ,  ajax  ,  git  ,  apache  ,  xml  ,  debugging  ,  mysql  ,  api  ,  rest  ,  python  ,  nosql  ,  django              ",card_travel2 - 3 yrslocation_onPune,Posted few days ago,card_travel2 - 3 yrs,Pune
    online productivity solutions pvt. ltd.        ,"                rest  ,  python  ,  rdbms  ,  problem solving  ,  visual source safe  ,  web based applications  ,  django  ,  git  ,  web development              ",card_travel0 - 3 yrslocation_onPanjim/Panaji,Posted few days ago,card_travel0 - 3 yrs,Panjim/Panaji
    Infosys Technologies Ltd        ,"                websphere  ,  global delivery  ,  python  ,  machine learning  ,  production support  ,  django  ,  project life cycle  ,  object oriented programming              ",card_travel1 - 4 yrslocation_on,Posted few days ago,card_travel1 - 4 yrs,
    ADROIT LEARNING AND MANPOWER PVT LTD        ,"                rest api  ,  sql  ,  database  ,  security  ,  devops  ,  rest  ,  python  ,  tornado  ,  javascript  ,  django  ,  infrastructure              ",card_travel0 - 5 yrslocation_onAhmedabad,Posted few days ago,card_travel0 - 5 yrs,Ahmedabad
    aspirebit technolab pvt ltd        ,"                security compliance  ,  python  ,  html5  ,  mobile  ,  svn  ,  storage  ,  javascript  ,  security  ,  database  ,  django  ,  git  ,  debugging              ",card_travel0 - 3 yrslocation_onSurat,Posted few days ago,card_travel0 - 3 yrs,Surat
    novigo solutions pvt ltd        ,"                fundamentals  ,  python  ,  sql  ,  system analysis  ,  database  ,  xml  ,  json  ,  software engineer  ,  api  ,  soap              ","card_travel3 - 6 yrslocation_onMangalore,  Bengaluru / Bangalore",Posted few days ago,card_travel3 - 6 yrs,"Mangalore,  Bengaluru / Bangalore"
    spark eighteen        ,"                security compliance  ,  html5  ,  storage  ,  security  ,  database  ,  debugging  ,  rest  ,  python  ,  mobile  ,  problem solving  ,  javascript  ,  django  ,  infrastructure              ","card_travel0 - 3 yrslocation_onDelhi,  Delhi/NCR",Posted few days ago,card_travel0 - 3 yrs,"Delhi,  Delhi/NCR"
    Comake IT software Pvt Ltd        ,"python  ,  tornado  ,  rest api  ,  docker  ,  sql  ,  django  ,  git  ,  postgresql  ,  linux  ,  json  ,  mysql  ,                ",card_travel3 - 6 yrslocation_onHyderabad/Secunderabad,Posted few days ago,card_travel3 - 6 yrs,Hyderabad/Secunderabad
    Virtualware Innovations        ,"python  ,  html5  ,  javascript  ,  sql  ,  nosql  ,  docker  ,  django  ,  git  ,  debugging  ,  mysql  ,  api  ,  mongodb              ","card_travel0 - 3 yrslocation_onHyderabad/Secunderabad,  Pune,  Bengaluru / Bangalore",Posted few days ago,card_travel0 - 3 yrs,"Hyderabad/Secunderabad,  Pune,  Bengaluru / Bangalore"
    APPLYCUP HIRING SOLUTIONS LLP        ,"                algorithms  ,  python  ,  css  ,  javascript  ,  jquery  ,  web programming  ,  django  ,  zope  ,  oops  ,  web development  ,  html  ,  data structures              ",card_travel1 - 3 yrslocation_onNoida/Greater Noida,Posted few days ago,card_travel1 - 3 yrs,Noida/Greater Noida
    APPLYCUP HIRING SOLUTIONS LLP        ,"                security compliance  ,  python  ,  html5  ,  mobile  ,  storage  ,  javascript  ,  security  ,  database  ,  web developer  ,  debugging              ",card_travel4 - 6 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel4 - 6 yrs,Bengaluru / Bangalore
    CoreStack        ,"                artificial intelligence  ,  security  ,  cloud computing  ,  python  ,  nextgen  ,  microsoft azure  ,  machine learning  ,  nist              ",card_travel2 - 4 yrslocation_onChennai,Posted few days ago,card_travel2 - 4 yrs,Chennai
    Minivet System        ,"python  ,  nosql  ,  django  ,  postgresql  ,  multithreading  ,  mysql  ,  technical skills  ,  mongodb  ,  couchdb  ,  middleware              ",card_travel1 - 4 yrslocation_onKolkata,Posted few days ago,card_travel1 - 4 yrs,Kolkata
    Sara Technologies        ,"                algorithms  ,  python  ,  cache  ,  css  ,  mobile  ,  storage  ,  javascript  ,  jquery  ,  security  ,  django  ,  html  ,  middleware              ",card_travel2 - 5 yrslocation_on,Posted few days ago,card_travel2 - 5 yrs,
    APPLYCUP HIRING SOLUTIONS LLP        ,"                rest  ,  python  ,  cloud services  ,  django  ,  xml  ,  brio  ,  json  ,  web development  ,  mysql  ,  soap              ",card_travel2 - 5 yrslocation_onHyderabad/Secunderabad,Posted few days ago,card_travel2 - 5 yrs,Hyderabad/Secunderabad
    APPLYCUP HIRING SOLUTIONS LLP        ,"python  ,  svn  ,  team player  ,  database  ,  django  ,  git  ,  infrastructure  ,  linux  ,  debugging  ,  hadoop              ",card_travel3 - 5 yrslocation_onPune,Posted few days ago,card_travel3 - 5 yrs,Pune
    APPLYCUP HIRING SOLUTIONS LLP        ,"python  ,  css  ,  html5  ,  javascript  ,  database  ,  django  ,  protocol testing  ,  postgresql  ,  system development  ,  html  ,  mysql  ,  api  ,  mongodb              ",card_travel1 - 3 yrslocation_onIndore,Posted few days ago,card_travel1 - 3 yrs,Indore
    APPLYCUP HIRING SOLUTIONS LLP        ,"                security compliance  ,  html5  ,  storage  ,  telecommunication  ,  security  ,  database  ,  git  ,  debugging  ,  python  ,  mobile  ,  svn  ,  javascript  ,  django              ",card_travel3 - 8 yrslocation_onSurat,Posted few days ago,card_travel3 - 8 yrs,Surat
    APPLYCUP HIRING SOLUTIONS LLP        ,"                websphere  ,  c    ,  socket programming  ,  sql  ,  apache  ,  xml  ,  linux  ,  json  ,  debugging  ,  python  ,  tornado  ,  c  ,  problem solving  ,  django              ",card_travel7 - 9 yrslocation_onPune,Posted few days ago,card_travel7 - 9 yrs,Pune
    APPLYCUP HIRING SOLUTIONS LLP        ,"                oop  ,  database  ,  git  ,  debugging  ,  data structures  ,  api  ,  mvc  ,  technical skills  ,  mongodb  ,  python  ,  nosql  ,  django  ,  gateway              ",card_travel8 - 10 yrslocation_onIndore,Posted few days ago,card_travel8 - 10 yrs,Indore
    JobsLo Consultants        ,"                security compliance  ,  python  ,  html5  ,  mobile  ,  svn  ,  storage  ,  javascript  ,  security  ,  database  ,  django  ,  git  ,  debugging              ",card_travel2 - 5 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel2 - 5 yrs,Bengaluru / Bangalore
    CONNECTING 2 WORK        ,"python  ,  css  ,  github  ,  hosting  ,  bug fixing  ,  bootstrap  ,  javascript  ,  jquery  ,  django  ,  heroku  ,  json  ,  html  ,  api              ",card_travel5 - 8 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel5 - 8 yrs,Bengaluru / Bangalore
    CONNECTING 2 WORK        ,"python  ,  css  ,  github  ,  hosting  ,  bug fixing  ,  bootstrap  ,  javascript  ,  jquery  ,  django  ,  heroku  ,  json  ,  html  ,  api              ",card_travel5 - 8 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel5 - 8 yrs,Bengaluru / Bangalore
    CONNECTING 2 WORK        ,"python  ,  css  ,  bug fixing  ,  bootstrap  ,  javascript  ,  jquery  ,  django  ,  debugging  ,  html  ,  api              ",card_travel5 - 6 yrslocation_onThiruvananthapuram,Posted few days ago,card_travel5 - 6 yrs,Thiruvananthapuram
    CONNECTING 2 WORK        ,"python  ,  storage  ,  sql  ,  security  ,  database  ,  django  ,  git  ,  postgresql  ,  oops  ,  debugging  ,  mysql  ,  api              ",card_travel2 - 5 yrslocation_onCochin/ Kochi/ Ernakulam,Posted few days ago,card_travel2 - 5 yrs,Cochin/ Kochi/ Ernakulam
    Root Info Solutions        ,"                rest  ,  python  ,  css  ,  rest api  ,  javascript  ,  oop  ,  django  ,  postgresql  ,  html  ,  mysql              ","card_travel2 - 5 yrslocation_onDelhi,  Delhi/NCR",Posted few days ago,card_travel2 - 5 yrs,"Delhi,  Delhi/NCR"
    Gemini Solutions        ,"                algorithms  ,  database  ,  senior software developer  ,  shell scripting  ,  object oriented programming  ,  python  ,  team player  ,  machine learning  ,  django  ,  unix  /  linux              ",card_travel3 - 6 yrslocation_onGurgaon,Posted few days ago,card_travel3 - 6 yrs,Gurgaon
    Infosys Technologies Ltd        ,"                information technology  ,  hibernate  ,  spring  ,  java  ,  project life cycle  ,  global delivery  ,  python  ,  production support  ,  j2ee technologies              ",card_travel4 - 7 yrslocation_onCanada,Posted few days ago,card_travel4 - 7 yrs,Canada
    APPLYCUP HIRING SOLUTIONS LLP        ,"                html5  ,  ajax  ,  database  ,  xpath  ,  git  ,  postgresql  ,  xml  ,  json  ,  perl  ,  api  ,  mongodb  ,  python  ,  cloud services  ,  javascript  ,  ruby  ,  nosql  ,  django  ,  couchdb  ,  soap              ","card_travel2 - 6 yrslocation_onDelhi,  Delhi/NCR",Posted few days ago,card_travel2 - 6 yrs,"Delhi,  Delhi/NCR"
    Nustar Technologies private limited     (More Jobs) ,"Python  ,  Django  ,  JavaScript  ,   HTML5              ","card_travel5 - 10 yrslocation_onDelhi,  Delhi/NCR,  Kolkata,  Bhubaneshwar",Posted a month ago,card_travel5 - 10 yrs,"Delhi,  Delhi/NCR,  Kolkata,  Bhubaneshwar"
    KTree Computer Solutions India  ( P )  Ltd        ,"                css  ,  sql  ,  git  ,  xml  ,  mysql  ,  html  ,  rest  ,  python  ,  perl scripting  ,  mobile  ,  openerp  ,  javascript  ,  django  ,  unix  /  linux  ,  software developer  ,  soap              ",card_travel10 - 13 yrslocation_onHyderabad/Secunderabad,Posted few days ago,card_travel10 - 13 yrs,Hyderabad/Secunderabad
    smartSense Consulting Solutions        ,"                rest  ,  python  ,  javascript  ,  nosql  ,  database  ,  django  ,  git  ,  postgresql  ,  software engineering  ,  mysql  ,  shell scripting  ,  unix  /  linux  ,  mongodb  ,  middleware              ",card_travel1 - 4 yrslocation_onGandhinagar,Posted few days ago,card_travel1 - 4 yrs,Gandhinagar
    GDB Technologies pvt. Ltd. Pune        ,"                rest  ,  python  ,  c    ,  tornado  ,  c  ,  machine learning  ,  javascript  ,  nosql  ,  docker  ,  django  ,  git  ,  java  ,  postgresql  ,  web technologies  ,  mysql  ,  big data  ,  mongodb              ",card_travel3 - 7 yrslocation_onPune,Posted few days ago,card_travel3 - 7 yrs,Pune
    Excel Ptp        ,"                jquery  ,  sql  ,  git  ,  oops  ,  json  ,  mysql  ,  object oriented programming  ,  mongodb  ,  middleware  ,  rest  ,  python  ,  svn  ,  machine learning  ,  django              ",card_travel1 - 4 yrslocation_onAhmedabad,Posted few days ago,card_travel1 - 4 yrs,Ahmedabad
    Inlogic Technologies Pvt Ltd        ,"                hive  ,  algorithms  ,  bi  ,  sharepoint  ,  pig  ,  database management  ,  database  ,  postgresql  ,  mysql  ,  hadoop  ,  big data  ,  mongodb  ,  crm  ,  python  ,  sas  ,  javascript  ,  cassandra  ,  infrastructure              ",card_travel1 - 4 yrslocation_onChennai,Posted few days ago,card_travel1 - 4 yrs,Chennai
    Virtualware Innovations        ,"                arcgis  ,  docker  ,  sql  ,  database  ,  java  ,  git  ,  postgresql  ,  devops  ,  linux  ,  software engineering  ,  rest  ,  python  ,  svn  ,  nosql  ,  django  ,  management systems              ",card_travel0 - 3 yrslocation_onHyderabad/Secunderabad,Posted few days ago,card_travel0 - 3 yrs,Hyderabad/Secunderabad
    sacumen        ,"                html5  ,  sql  ,  docker  ,  elastic search  ,  security  ,  database  ,  git  ,  devops  ,  linux  ,  debugging  ,  rest  ,  python  ,  github  ,  os  ,  machine learning  ,  javascript  ,  django              ",card_travel6 - 8 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel6 - 8 yrs,Bengaluru / Bangalore
    sacumen        ,"                html5  ,  sql  ,  docker  ,  elastic search  ,  security  ,  database  ,  git  ,  devops  ,  linux  ,  debugging  ,  rest  ,  python  ,  github  ,  os  ,  machine learning  ,  javascript  ,  django              ",card_travel6 - 8 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel6 - 8 yrs,Bengaluru / Bangalore
    infoanalytica consulting pvt ltd        ,"                fundamentals  ,  python  ,  data mining  ,  machine learning  ,  javascript  ,  sql  ,  business objects  ,  xml  ,  mysql  ,  software engineer  ,  object oriented programming              ",card_travel3 - 5 yrslocation_onAhmedabad,Posted few days ago,card_travel3 - 5 yrs,Ahmedabad
    APPLYCUP HIRING SOLUTIONS LLP        ,"                websphere  ,  css  ,  socket programming  ,  sql  ,  apache  ,  xml  ,  linux  ,  json  ,  debugging  ,  html  ,  python  ,  tornado  ,  problem solving  ,  javascript  ,  django              ",card_travel7 - 10 yrslocation_onPune,Posted few days ago,card_travel7 - 10 yrs,Pune
    Anantha Cyber Tech Pvt Limited        ,"                rest  ,  python  ,  cloud services  ,  information technology  ,  svn  ,  javascript  ,  jquery  ,  django  ,  git  ,  apache  ,  debugging  ,  json  ,  html  ,  mysql  ,  mongodb              ",card_travel6 - 8 yrslocation_onHyderabad/Secunderabad,Posted few days ago,card_travel6 - 8 yrs,Hyderabad/Secunderabad
    Infosys Technologies Ltd        ,"                information technology  ,  technology analyst  ,  hibernate  ,  spring  ,  java  ,  project life cycle  ,  object oriented programming  ,  global delivery  ,  python  ,  production support  ,  j2ee technologies              ",card_travel2 - 5 yrslocation_on,Posted few days ago,card_travel2 - 5 yrs,
    Polaris Consulting & Services Ltd        ,"                JCR replication  ,   developing AEM Site  ,   publishing  ,   configuringJCR replication  ,   developing AEM Site  ,   publishing  ,   configuring              ",card_travel0 - 3 yrslocation_onChennai,Posted 1 day ago,card_travel0 - 3 yrs,Chennai
    vecrear technologies pvt. ltd.        ,"                sql  ,  docker  ,  react.js  ,  git  ,  linux  ,  json  ,  api  ,  rest  ,  ubuntu  ,  operating system  ,  svn  ,  triggers              ",card_travel4 - 6 yrslocation_onBengaluru / Bangalore,Posted 1 day ago,card_travel4 - 6 yrs,Bengaluru / Bangalore
    Infosys Technologies Ltd        ,"                algorithms  ,  information technology  ,  scala  ,  technology analyst  ,  sql  ,  memory management  ,  unix shell scripting  ,  oops  ,  data structures  ,  software engineering  ,  hadoop  ,  big data  ,  global delivery  ,  python",card_travel2 - 5 yrslocation_on,Posted few days ago,card_travel2 - 5 yrs,
    inflexi technologies pvt ltd        ,"                algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api              ",card_travel0 - 2 yrslocation_onAustralia,Posted few days ago,card_travel0 - 2 yrs,Australia
    Mithra Jobs Pvt Ltd     (More Jobs) ,"                Expertise In Core Python.  ,  Good grasp of Web Frameworks.  ,  Design Skills  ,  Understand Multi-Process Architecture  ,  CSS  ,   HTML and JavaScript. ..              ","card_travel2 - 5 yrs₹Rs 3.00 - 4.00 Lacs p.a.location_onCoimbatore,  Cuddalore,  Erode,  Madurai,  Salem",Posted few days ago,card_travel2 - 5 yrs,"Coimbatore,  Cuddalore,  Erode,  Madurai,  Salem"
    electronikmedia kochi        ,"                security compliance  ,  soa  ,  html5  ,  docker  ,  d3.js  ,  api  ,  mongodb  ,  python  ,  microsoft azure  ,  javascript  ,  nosql  ,  node.js  ,  django  ,  php  ,  ioc  ,  angularjs              ",card_travel2 - 5 yrslocation_onCochin/ Kochi/ Ernakulam,Posted few days ago,card_travel2 - 5 yrs,Cochin/ Kochi/ Ernakulam
    ion trading india pvt. ltd.        ,"                rest api  ,  docker  ,  sql  ,  oop  ,  java  ,  software engineering  ,  multithreading  ,  hadoop  ,  big data  ,  mongodb  ,  rest  ,  python  ,  tornado  ,  machine learning  ,  javascript  ,  messaging  ,  django              ",card_travel8 - 11 yrslocation_on,Posted few days ago,card_travel8 - 11 yrs,
    wissen technology        ,"                security compliance  ,  html5  ,  storage  ,  artificial intelligence  ,  security  ,  database  ,  git  ,  devops  ,  technology consulting  ,  debugging  ,  telecom  ,  big data  ,  python  ,  mobile  ,  svn  ,  machine learning  ,  javascript  ,  django  ,  infrastructure              ",card_travel5 - 8 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel5 - 8 yrs,Bengaluru / Bangalore
    glan management consultancy pvt. ltd.        ,"                sql queries  ,  agile  ,  jira              ",card_travel3 - 6 yrslocation_onBengaluru / Bangalore,Posted 4 days ago,card_travel3 - 6 yrs,Bengaluru / Bangalore
    glan management consultancy pvt. ltd.        ,"                css  ,  html5  ,  bootstrap  ,  jquery  ,  sql  ,  docker  ,  security  ,  database  ,  xml  ,  debugging  ,  database handling  ,  mongodb  ,  c#  ,  rest  ,  python  ,  vb  ,  javascript  ,  django  ,  oracle 11g  ,  database programming  ,  written communication  ,  .net  ,  soap  ,  sql database              ",card_travel3 - 8 yrslocation_onGurgaon,Posted few days ago,card_travel3 - 8 yrs,Gurgaon
    glan management consultancy pvt. ltd.        ,"                css  ,  html5  ,  bootstrap  ,  vb.net  ,  jquery  ,  sql  ,  docker  ,  security  ,  database  ,  xml  ,  debugging  ,  database handling  ,  mongodb  ,  c#  ,  rest  ,  python  ,  vb  ,  javascript  ,  django  ,  oracle 11g  ,  database programming  ,  written communication  ,  .net  ,  soap  ,  sql database              ",card_travel3 - 8 yrslocation_onGurgaon,Posted few days ago,card_travel3 - 8 yrs,Gurgaon
    Electrobrain modern technologies pvt ltd     (More Jobs) ,"                Programmer  ,  software engineer  ,  junior software engineer  ,  software developer  ,  senior software engineer  ,  technical consultant  ,  consultant  ,  senior associate consultant              ","card_travel2 - 7 yrs₹Rs 4.30 - 9.70 Lacs p.a.location_onDelhi,  Delhi/NCR,  Gurgaon,  Noida/Greater Noida,  Chandigarh",Posted few days ago,card_travel2 - 7 yrs,"Delhi,  Delhi/NCR,  Gurgaon,  Noida/Greater Noida,  Chandigarh"
    alliance recruitment agency        ,"                data quality  ,  java  ,  data transformation  ,  data integration              ",card_travel6 - 8 yrslocation_onThiruvananthapuram,Posted few days ago,card_travel6 - 8 yrs,Thiruvananthapuram
    CoreStack        ,"                software development  ,  coding  ,  design patterns  ,  openstack              ",card_travel7 - 10 yrslocation_onChennai,Posted few days ago,card_travel7 - 10 yrs,Chennai
    Morgan Stanley Pvt Ltd        ,"                fundamentals  ,  docker  ,  security  ,  devops  ,  linux  ,  python  ,  os  ,  neo4j  ,  infrastructure  ,  forms              ",card_travel5 - 12 yrslocation_on,Posted a month ago,card_travel5 - 12 yrs,
    Cambium Networks        ,"                automation framework  ,  authoring  ,  test cases  ,  emulators  ,  pmp  ,  protocol testing  ,  linux  ,  jenkins  ,  jira  ,  testing  ,  sdet  ,  infrastructure  ,  ixia  ,  web technologies              ",card_travel8 - 11 yrslocation_onBengaluru / Bangalore,Posted few days ago,card_travel8 - 11 yrs,Bengaluru / Bangalore
    CONNECTING 2 WORK        ,"                ux  ,  ux designer  ,  photoshop  ,  designing  ,  illustrator              ",card_travel0 - 3 yrslocation_onCochin/ Kochi/ Ernakulam,Posted few days ago,card_travel0 - 3 yrs,Cochin/ Kochi/ Ernakulam
    Electrobrain modern technologies pvt ltd     (More Jobs) ,"                Data Science  ,  Python  ,  Matplotlib  ,  GIT  ,  Numpy  ,  Pandas  ,  AWS              ","card_travel2 - 7 yrs₹Rs 5.20 - 10.50 Lacs p.a.location_onSrikakulam,  Tirupati,  Vijayawada,  Visakhapatnam,  Warangal",Posted a month ago,card_travel2 - 7 yrs,"Srikakulam,  Tirupati,  Vijayawada,  Visakhapatnam,  Warangal"
    Electrobrain modern technologies pvt ltd     (More Jobs) ,"                Data Science  ,  Python  ,  Matplotlib  ,  GIT  ,  Numpy  ,  Pandas  ,  AWS              ","card_travel2 - 7 yrs₹Rs 5.20 - 10.50 Lacs p.a.location_onBongaigaon,  Guwahati,  Jorhat,  Silchar,  Tezpur",Posted a month ago,card_travel2 - 7 yrs,"Bongaigaon,  Guwahati,  Jorhat,  Silchar,  Tezpur"
    Tadvid Info Technologies     (More Jobs) ,Python Scripting              ,card_travel1 - 4 yrs₹Rs 2.00 - 6.00 Lacs p.a.location_onAhmedabad,Posted few days ago,card_travel1 - 4 yrs,Ahmedabad
    Next Step Associates     (More Jobs) ,"                Django  ,  Python",card_travel1 - 6 yrs₹Rs 1.00 - 15.00 Lacs p.a.location_onAhmedabad,"Work from Home 		    	",card_travel1 - 6 yrs,Ahmedabad
    LARSEN & TOUBRO INFOTECH LIMITED     (More Jobs) ,"                Java  ,  Python  ,  Spring  ,  Hibernate  ,  REST APIs              ","card_travel8 - 12 yrslocation_onHyderabad/Secunderabad,  Kolkata",Posted a month ago,card_travel8 - 12 yrs,"Hyderabad/Secunderabad,  Kolkata"
    LARSEN & TOUBRO INFOTECH LIMITED     (More Jobs) ,"                Java  ,  Python  ,  Spring  ,  Hibernate  ,  REST APIs              ","card_travel8 - 12 yrslocation_onBengaluru / Bangalore,  Chennai,  Mumbai,  Pune,  Coimbatore",Posted a month ago,card_travel8 - 12 yrs,"Bengaluru / Bangalore,  Chennai,  Mumbai,  Pune,  Coimbatore"
    LARSEN & TOUBRO INFOTECH LIMITED     (More Jobs) ,"                AWS  ,  S3  ,  Glue  ,  Python","card_travel3 - 8 yrslocation_onBengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune",Posted few days ago,card_travel3 - 8 yrs,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Mumbai,  Pune"
    Electrobrain modern technologies pvt ltd     (More Jobs) ,"                Data Science  ,  GIT  ,  AWS  ,  NPandasumpy  ,  Python  ,  Matplotlib              ","card_travel3 - 8 yrs₹Rs 6.50 - 12.00 Lacs p.a.location_onVisakhapatnam,  Nagpur,  Navi Mumbai",Posted a month ago,card_travel3 - 8 yrs,"Visakhapatnam,  Nagpur,  Navi Mumbai"
